lang;reference;content;local_content_key_id;created_at;updated_at;deleted_at
en;debug panel;Debug panel;1;2020-11-28 22:19:23;;
fr;debug panel;Debug panel;1;2020-11-28 22:19:23;;
en;permet de voir la reference des text de traduction pour facilite la recherche.;Permet de voir la reference des text de traduction pour facilité la recherche.;2;2020-11-28 22:19:23;;
fr;permet de voir la reference des text de traduction pour facilite la recherche.;Permet de voir la reference des text de traduction pour facilité la recherche.;2;2020-11-28 22:19:23;;
en;activer le mode debug;Activer le mode debug;3;2020-11-28 22:19:23;;
fr;activer le mode debug;Activer le mode debug;3;2020-11-28 22:19:23;;
en;regenerate cache;Regenerate Cache;4;2020-11-28 22:19:23;;
fr;regenerate cache;Regenerate Cache;4;2020-11-28 22:19:23;;
en;retour a ladministration;Retour à l'administration;5;2020-11-28 22:19:23;;
fr;retour a ladministration;Retour à l'administration;5;2020-11-28 22:19:23;;
en;hello devups. waitting for your front-end template. do your best :);Hello Devups. Waitting for your front-end template. Do your best :);6;2020-11-28 22:43:26;;
fr;hello devups. waitting for your front-end template. do your best :);Hello Devups. Waitting for your front-end template. Do your best :);6;2020-11-28 22:43:26;;
en;hello devups.  waitting for your front-end template. do your best ;Hello Devups.  Waitting for your front-end template. Do your best ;11;2020-11-28 22:49:50;;
fr;hello devups.  waitting for your front-end template. do your best ;Hello Devups.  Waitting for your front-end template. Do your best ;11;2020-11-28 22:49:50;;
en;configuration.id;#;12;2020-11-29 03:23:38;;
fr;configuration.id;#;12;2020-11-29 03:23:38;;
en;configuration._key;_key;13;2020-11-29 03:23:38;;
fr;configuration._key;_key;13;2020-11-29 03:23:38;;
en;configuration._value;_value;14;2020-11-29 03:23:38;;
fr;configuration._value;_value;14;2020-11-29 03:23:38;;
en;configuration._type;_type;15;2020-11-29 03:23:38;;
fr;configuration._type;_type;15;2020-11-29 03:23:38;;
en;configuration.comment;Comment;16;2020-11-29 03:23:38;;
fr;configuration.comment;Comment;16;2020-11-29 03:23:38;;
en;dashboards;Dashboards;17;2020-11-29 03:23:38;;
fr;dashboards;Dashboards;17;2020-11-29 03:23:38;;
en;dashboard;Dashboard;18;2020-11-29 03:23:39;;
fr;dashboard;Dashboard;18;2020-11-29 03:23:39;;
en;desactive le mode debug.;Desactive le mode debug.;19;2020-11-29 03:24:17;;
fr;desactive le mode debug.;Desactive le mode debug.;19;2020-11-29 03:24:17;;
en;desactiver le mode debug;Desactiver le mode debug;20;2020-11-29 03:24:17;;
fr;desactiver le mode debug;Desactiver le mode debug;20;2020-11-29 03:24:17;;
en;details;Details;21;2020-11-29 03:46:53;;
fr;details;Details;21;2020-11-29 03:46:53;;
en;local_content.reference;Reference;22;2020-11-29 03:52:27;;
fr;local_content.reference;Reference;22;2020-11-29 03:52:27;;
en;local_content.lang;Lang;23;2020-11-29 03:52:27;;
fr;local_content.lang;Lang;23;2020-11-29 03:52:27;;
en;local_content.content;Content;24;2020-11-29 03:52:27;;
fr;local_content.content;Content;24;2020-11-29 03:52:27;;
