position;name;content;slug;status;parent_id;main;chain;tree_id;created_at;updated_at;deleted_at
;defaultadmin;;defaultadmin;;;1;;1;2021-03-14 23:38:13;;
0;reportage;Tiré à 30.000 exemplaires et distribué durant le Salon, le Catalogue
 Officiel d’Exposition est réalisé au format A4, quadrichromie et constitue le Répertoire des Exposants. Rendez votre présence visible, pour vos marchés cibles.;reportage;;;1;;2;2021-03-25 04:22:43;2021-03-25 04:34:48;
1;publication;Capitalisez votre présence et votre participation à PROMOTE 2021 en exploitant les espaces de visibilité proposés par notre Partenaire TV, Canal 2 International, à des prix privilégiés et dédiés durant le Salon.;publication;;;1;;2;2021-03-25 04:22:56;2021-03-25 04:43:57;
0;stand;;stand;;;1;;3;2021-03-25 05:49:21;;
1;conference;;conference;;;1;;3;2021-03-25 05:49:28;;
2;rdv;;rdv;;;1;;3;2021-03-25 05:49:42;;
3;economic mission;;economic-mission;;;1;;3;2021-03-25 05:50:09;;
0;1500 places;Equipée de l’interprétation en simultané;1500-places;;;1;;5;2021-03-25 07:03:27;2021-03-25 07:03:41;
0;ETS;;ets;;;1;;6;2021-03-25 07:08:29;;
1;SARL;;sarl;;;1;;6;2021-03-25 07:08:35;;
0;1/2 journée;;1/2-journee;;;1;;7;2021-03-25 07:18:40;;
1;1 journée;;1-journee;;;1;;7;2021-03-25 07:18:46;;
